time,sourceFrame,jawOpen_A,mouthSeal,mouthSmileL,mouthSmileR,upperLipRaiseL,upperLipRaiseR,mouthLeft,mouthRight,mouthPucker,mouthFunnel,lipPress,browRaiseL,browRaiseR,browFrownL,browFrownR,eyeWideL,eyeWideR,eyeSquintL,eyeSquintR,eyeBlinkL,eyeBlinkR,headYaw,headPitch,headRoll,gazeX,gazeY,gazeConverge,lean,headShiftX,tongueOut,tongueSide,noseWrinkle
1.2,36,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.65,0.55,0.55,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.0,0.55,0.05,0.0,0.225,0.65,0.0,-0.087,0.0,0.0,0.0
1.3,39,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.65,0.55,0.55,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.0,0.475,0.05,0.0,0.2,0.55,0.0,-0.1,0.0,0.0,0.0
1.4,42,0.0,1,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.055,0.0,-0.0,0.0,0.0,-0.086,0.0,0.0,0.0
1.5,45,0.6,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.0,0.24,0.06,-0.013,0.0,0.0,0.0,-0.071,0.0,0.0,0.0
1.6,48,0.6,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.065,-0.027,0.0,0.0,0.0,-0.057,0.0,0.0,0.0
1.7,51,0.26,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015,0.07,-0.04,0.0,0.0,0.0,-0.043,0.0,0.0,0.0
1.8,54,0.26,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.0,-0.11,0.075,-0.053,0.0,0.0,0.0,-0.029,0.0,0.0,0.0
1.9,57,0.26,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.205,0.08,-0.067,0.0,0.0,0.0,-0.014,0.0,0.0,0.0
2.0,60,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.28,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.32,0.32,0.0,0.0,0.0,-0.3,0.085,-0.08,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2.1,63,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.28,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.32,0.32,0.0,0.0,0.0,-0.28,0.09,-0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,66,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.32,0.32,0.0,0.0,0.017,-0.26,0.095,-0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3,69,0.0,1,0.5,0.15,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.32,0.32,0.0,0.0,0.033,-0.24,0.1,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4,72,0.0,1,0.5,0.15,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.32,0.32,0.0,0.0,0.05,-0.22,0.083,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,75,0.0,1,0.5,0.15,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.32,0.32,0.0,0.0,0.042,-0.2,0.067,-0.06,0.0,0.0,-0.15,0.0,0.0,0.0,0.0
2.6,78,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.033,-0.133,0.05,-0.03,0.0,0.0,-0.3,0.0,0.0,0.0,0.0
2.7,81,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,-0.067,0.075,0.0,0.0,0.0,-0.45,0.04,0.0,0.0,0.0
2.8,84,0.6,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.017,0.0,0.1,0.0,0.0,0.0,-0.6,0.08,0.0,0.0,0.0
2.9,87,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.008,0.024,0.067,0.0,0.0,0.0,-0.575,0.067,0.0,0.0,0.0
3.0,90,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.28,0.0,0.55,0.55,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.0,0.048,0.033,0.0,0.0,0.0,-0.55,0.053,0.0,0.0,0.0
3.1,93,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.6,0.0,0.55,0.55,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.01,0.072,0.0,0.0,0.0,0.0,-0.525,0.04,0.0,0.0,0.0
3.2,96,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.02,0.096,0.01,0.0,0.0,0.0,-0.5,0.027,0.0,0.0,0.0
3.3,99,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.03,0.12,0.02,0.0,0.0,0.0,-0.293,0.013,0.0,0.0,0.0
3.4,102,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.04,0.163,0.03,0.0,0.0,0.0,-0.087,0.0,0.0,0.0,0.0
3.5,105,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,0.207,0.078,0.0,0.0,0.0,0.12,0.1,0.0,0.0,0.0
3.6,108,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06,0.25,0.125,0.0,0.0,0.0,0.163,0.2,0.0,0.0,0.0
3.7,111,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.07,0.225,0.173,0.0,0.0,0.0,0.207,0.175,0.0,0.0,0.0
3.8,114,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.2,0.22,0.0,0.0,0.0,0.25,0.15,0.0,0.0,0.0
3.9,117,0.26,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.07,0.175,0.135,0.0,0.0,0.0,0.257,0.035,0.0,0.0,0.0
4.0,120,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06,0.15,0.05,0.0,0.0,0.0,0.264,-0.08,0.0,0.0,0.0
4.1,123,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,0.138,0.18,0.0,0.0,0.0,0.271,0.12,0.0,0.0,0.0
4.2,126,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.017,0.127,0.115,0.0,0.0,0.0,0.279,0.08,0.0,0.0,0.0
4.3,129,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.017,0.115,0.05,0.0,0.0,0.0,0.286,0.04,0.0,0.0,0.0
4.4,132,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.05,0.103,0.5,0.0,0.0,0.0,0.293,-0.35,0.0,0.0,0.0
4.5,135,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.042,0.092,0.42,0.0,0.0,0.0,0.3,-0.15,0.0,0.0,0.0
4.6,138,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,-0.033,0.08,0.0,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0
4.7,141,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.025,0.5,0.0,0.0,0.0,0.0,-0.125,0.0,0.0,0.0,0.0
4.8,144,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017,0.333,0.0,0.0,0.0,0.0,-0.337,0.0,0.0,0.0,0.0
4.9,147,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,-0.008,0.167,0.0,0.0,0.0,0.0,-0.55,0.0,0.0,0.0,0.0
5.0,150,0.6,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.539,0.0,0.0,0.0,0.0
5.1,153,0.18,0.0,0.5,0.15,0.65,0.12,0.2,0.0,0.0,0.0,0.0,0.55,0.55,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,-0.024,-0.007,0.0,0.0,0.0,0.0,-0.529,0.0,0.0,0.0,0.0
5.2,156,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,-0.048,-0.014,0.0,0.0,0.0,0.0,-0.518,0.0,0.0,0.0,0.0
5.3,159,0.26,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.072,-0.021,-0.025,0.0,0.0,0.0,-0.507,0.0,0.0,0.0,0.0
5.4,162,0.18,0.0,0.5,0.15,0.65,0.12,0.2,0.0,0.0,0.0,0.0,0.2,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.096,-0.029,-0.05,-0.65,0.0,0.0,-0.496,-0.015,0.0,0.0,0.0
5.5,165,0.18,0.0,0.5,0.15,0.65,0.12,0.2,0.0,0.0,0.0,0.0,0.2,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,-0.036,-0.25,-0.6,0.0,0.0,-0.486,-0.03,0.0,0.0,0.0
5.6,168,0.48,0.0,0.5,0.15,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.35,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,-0.047,-0.043,-0.45,-0.35,0.0,0.0,-0.475,-0.045,0.75,0.5,0.0
5.7,171,0.48,0.0,0.5,0.15,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.35,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.027,-0.05,-0.65,0.0,0.0,0.0,-0.464,-0.06,0.75,0.5,0.0
5.8,174,0.48,0.0,0.5,0.15,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.35,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.1,-0.05,-0.617,0.0,0.0,0.0,-0.454,-0.075,0.75,0.5,0.0
5.9,177,0.18,0.0,0.5,0.15,0.65,0.12,0.2,0.0,0.0,0.0,0.0,0.2,0.35,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.093,-0.05,-0.583,0.0,0.0,0.0,-0.443,-0.09,0.0,0.0,0.0
6.0,180,0.18,0.0,0.5,0.15,0.65,0.12,0.2,0.0,0.0,0.0,0.0,0.2,0.35,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.087,-0.05,-0.55,0.0,0.0,0.0,-0.432,-0.105,0.0,0.0,0.0
6.1,183,0.18,0.0,0.5,0.15,0.65,0.12,0.2,0.0,0.0,0.0,0.0,0.2,0.35,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.08,-0.05,-0.35,0.0,0.0,0.0,-0.421,-0.12,0.0,0.0,0.0
6.2,186,0.18,0.0,0.5,0.15,0.65,0.12,0.2,0.0,0.0,0.0,0.0,0.2,0.35,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.067,-0.05,-0.15,0.0,0.0,0.0,-0.411,-0.08,0.0,0.0,0.0
6.3,189,0.26,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.053,-0.05,0.05,0.0,0.0,0.0,-0.4,-0.04,0.0,0.0,0.0
6.4,192,0.26,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.04,-0.05,0.025,0.0,0.0,0.0,-0.325,-0.0,0.0,0.0,0.0
6.5,195,0.22,0.0,0.72,0.72,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,-0.05,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0
6.6,198,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.6,0.0,0.55,0.55,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.013,-0.075,-0.025,0.0,0.0,0.0,-0.175,0.0,0.0,0.0,0.0
6.7,201,0.18,0.0,0.5,0.15,0.8,0.18,0.26,0.0,0.27,0.0,0.0,0.25,0.25,0.25,0.25,0.85,0.85,0.0,0.0,0.0,0.0,0.0,-0.1,-0.05,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.7
6.8,204,0.18,0.0,0.5,0.15,0.8,0.18,0.26,0.0,0.27,0.0,0.0,0.25,0.25,0.25,0.25,0.85,0.85,0.0,0.0,0.0,0.0,0.0,-0.125,-0.04,0.0,0.0,0.0,-0.136,0.0,0.0,0.0,0.7
6.9,207,0.18,0.0,0.5,0.15,0.8,0.18,0.26,0.0,0.27,0.0,0.0,0.25,0.25,0.25,0.25,0.85,0.85,0.0,0.0,0.0,0.0,0.0,-0.15,-0.03,0.0,0.0,0.0,-0.171,0.0,0.0,0.0,0.7
7.0,210,0.18,0.0,0.5,0.15,0.8,0.18,0.26,0.0,0.27,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,-0.02,0.0,0.0,0.0,-0.207,0.017,0.0,0.0,0.7
7.1,213,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.07,-0.01,0.0,0.0,0.0,-0.243,0.033,0.0,0.0,0.0
7.2,216,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,-0.279,0.05,0.0,0.0,0.0
7.3,219,0.6,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.067,0.0,0.0,0.0,-0.314,0.067,0.0,0.0,0.0
7.4,222,0.18,0.0,0.5,0.15,0.65,0.12,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.0,0.05,0.133,0.0,0.0,0.0,-0.35,0.083,0.0,0.0,0.0
7.5,225,0.22,0.0,0.72,0.72,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.47,0.0,0.0,0.009,0.056,0.2,0.0,0.0,0.0,-0.346,0.1,0.0,0.0,0.0
7.6,228,0.6,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.47,0.0,0.0,0.018,0.061,0.22,0.0,0.0,0.0,-0.342,0.12,0.0,0.0,0.0
7.7,231,0.18,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.68,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.47,0.0,0.0,0.027,0.067,0.24,0.0,0.0,0.0,-0.337,0.14,0.0,0.0,0.0
7.8,234,0.26,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.47,0.0,0.0,0.036,0.072,0.26,0.0,0.0,0.0,-0.333,0.16,0.0,0.0,0.0
7.9,237,0.22,0.0,0.72,0.72,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.47,0.0,0.0,0.044,0.078,0.28,0.0,0.0,0.0,-0.329,0.18,0.0,0.0,0.0
8.0,240,0.22,0.0,0.72,0.72,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.47,0.0,0.0,0.053,0.083,0.3,0.0,0.0,0.0,-0.325,0.2,0.0,0.0,0.0
8.1,243,0.6,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.47,0.0,0.0,0.062,0.089,0.32,0.0,0.0,0.0,-0.321,0.22,0.0,0.0,0.0
8.2,246,0.22,0.0,0.72,0.72,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.47,0.0,0.0,0.071,0.094,0.34,0.0,0.0,0.0,-0.317,0.24,0.0,0.0,0.0
8.3,249,0.22,0.0,0.72,0.72,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.47,0.0,0.0,0.08,0.1,0.36,0.0,0.0,0.0,-0.312,0.293,0.0,0.0,0.0
8.4,252,0.22,0.0,0.72,0.72,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.47,0.0,0.0,0.02,0.075,0.38,0.0,0.0,0.0,-0.308,0.347,0.0,0.0,0.0
8.5,255,0.6,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.85,0.0,0.0,-0.04,0.05,0.4,0.0,0.0,0.0,-0.304,0.4,0.0,0.0,0.0
8.6,258,0.22,0.0,0.72,0.72,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.1,0.025,0.25,0.0,0.0,0.0,-0.3,0.27,0.0,0.0,0.0
8.7,261,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.0,0.0,-0.7,0.15,0.0,-0.3,0.14,0.0,0.0,0.0
8.8,264,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.35,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,-0.055,0.063,-0.1,-0.65,0.075,0.0,-0.3,0.01,0.0,0.0,0.0
8.9,267,0.0,1,0.5,0.15,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.45,0.35,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.05,0.125,-0.2,0.0,0.0,0.0,-0.3,-0.12,0.0,0.0,0.0
9.0,270,0.0,1,0.5,0.15,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.45,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.188,-0.1,0.0,0.275,0.0,-0.3,-0.09,0.0,0.0,0.0
9.1,273,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.4,0.55,0.0,-0.3,-0.06,0.0,0.0,0.0
9.2,276,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.65,0.45,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.15,0.0,0.15,0.2,0.0,-0.3,-0.03,0.0,0.0,0.0
9.3,279,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.65,0.45,0.35,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.027,0.05,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0
9.4,282,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.65,0.45,0.35,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.0,-0.085,0.05,-0.075,-0.025,0.0,-0.3,0.0,0.0,0.0,0.0
9.5,285,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.0,-0.22,0.1,-0.15,-0.05,0.0,-0.3,0.0,0.0,0.0,0.0
9.6,288,0.0,1,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.55,0.55,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.0,-0.186,-0.1,0.0,0.0,0.45,-0.3,0.0,0.0,0.0,0.0
9.7,291,0.0,1,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.55,0.55,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.0,-0.152,0.01,0.0,0.0,0.15,-0.3,0.0,0.0,0.0,0.0
9.8,294,0.0,1,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.55,0.55,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.0,-0.118,0.12,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0
9.9,297,0.0,1,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,-0.084,0.11,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0
